period,clock,abs_seconds_elapsed,score,event_text,bucket,impact_score,reason_code
1,12:00.0,0.0,0-0,Start of 1st Period (8:44 PM EST),neutral,0.0,NEUTRAL
1,12:00.0,0.0,-,Jump Ball Wembanyama vs. Towns: Tip to Fox,neutral,0.0,NEUTRAL
1,11:36.0,24.0,0-3,Vassell 25' 3PT Jump Shot (3 PTS) (Castle 1 AST),bad,-5.34,SAS_MADE_3_LEADCHG
1,11:08.0,52.0,2-3,Brunson 20' Step Back Jump Shot (2 PTS),good,3.58,NYK_MADE_2_1POSS
1,10:55.0,65.0,-,Bridges S.FOUL (P1.T1) (T.Ford),neutral,0.0,FOUL_NEUTRAL
1,10:55.0,65.0,2-4,Champagnie Free Throw 1 of 2 (1 PTS),bad,-1.14,SAS_MADE_FT_1POSS
1,10:55.0,65.0,2-5,Champagnie Free Throw 2 of 2 (2 PTS),bad,-1.14,SAS_MADE_FT_1POSS
1,10:36.0,84.0,-,MISS Bridges 8' Driving Floating Jump Shot,bad,-2.15,NYK_MISS_FG_STOP_TIE
1,10:34.0,86.0,-,Wembanyama REBOUND (Off:0 Def:1),bad,-1.07,SAS_REB_D
1,10:28.0,92.0,-,MISS Fox 7' Running Pull-Up Jump Shot,good,2.1,SAS_MISS_FG
1,10:26.0,94.0,-,Towns REBOUND (Off:0 Def:1),good,1.05,NYK_REB_D
1,10:18.0,102.0,-,Castle S.FOUL (P1.T1) (T.Brothers),neutral,0.0,FOUL_NEUTRAL
1,10:18.0,102.0,3-5,Brunson Free Throw 1 of 3 (3 PTS),good,1.03,NYK_MADE_FT_1POSS
1,10:18.0,102.0,4-5,Brunson Free Throw 2 of 3 (4 PTS),good,1.03,NYK_MADE_FT_1POSS
1,10:18.0,102.0,5-5,Brunson Free Throw 3 of 3 (5 PTS),good,1.03,NYK_MADE_FT_TIE
1,10:12.0,108.0,-,Brunson P.FOUL (P1.T2) (T.Ford),neutral,0.0,FOUL_NEUTRAL
1,9:59.0,121.0,5-8,Champagnie 25' 3PT Jump Shot (5 PTS) (Vassell 1 AST),bad,-3.93,SAS_MADE_3_LEADCHG
1,9:45.0,135.0,-,MISS Brunson 6' Pullup Jump Shot,bad,-1.91,NYK_MISS_FG_STOP_TIE
1,9:45.0,135.0,-,Fox BLOCK (1 BLK),bad,-1.91,SAS_BLOCK
1,9:45.0,135.0,-,Castle REBOUND (Off:0 Def:1),bad,-0.96,SAS_REB_D
1,9:45.0,135.0,-,Hart P.FOUL (P1.T3) (T.Ford),neutral,0.0,FOUL_NEUTRAL
1,9:34.0,146.0,5-10,Castle 4' Driving Floating Bank Jump Shot (2 PTS),bad,-2.82,SAS_MADE_2
1,9:20.0,160.0,7-10,Anunoby 2' Driving Reverse Layup (2 PTS) (Towns 1 AST),good,2.76,NYK_MADE_2_1POSS
1,9:00.0,180.0,7-13,Champagnie 3PT Fadeaway Bank Shot (8 PTS),bad,-3.58,SAS_MADE_3
1,8:41.0,199.0,10-13,Anunoby 3PT Pullup Jump Shot (5 PTS) (Brunson 1 AST),good,3.51,NYK_MADE_3_1POSS
1,8:25.0,215.0,-,MISS Castle 25' 3PT Jump Shot,good,1.73,SAS_MISS_FG
1,8:21.0,219.0,-,Bridges REBOUND (Off:0 Def:1),good,0.86,NYK_REB_D
1,8:13.0,227.0,-,MISS Brunson 3' Driving Finger Roll Layup,bad,-1.71,NYK_MISS_FG_STOP_TIE
1,8:11.0,229.0,-,Vassell REBOUND (Off:0 Def:1),bad,-0.86,SAS_REB_D
1,8:06.0,234.0,-,MISS Castle 6' Running Layup,good,1.71,SAS_MISS_FG
1,8:04.0,236.0,-,Anunoby REBOUND (Off:0 Def:1),good,0.85,NYK_REB_D
1,8:02.0,238.0,-,MISS Brunson 4' Running Layup,bad,-1.7,NYK_MISS_FG_STOP_TIE
1,8:02.0,238.0,-,Vassell BLOCK (1 BLK),bad,-1.7,SAS_BLOCK
1,8:02.0,238.0,-,Knicks Rebound,good,0.85,NYK_REB_TEAM
1,8:02.0,238.0,-,SUB: Harper FOR Fox,neutral,0.0,NEUTRAL
1,8:02.0,238.0,-,SUB: Johnson FOR Vassell,neutral,0.0,NEUTRAL
1,7:59.0,241.0,-,Hart Step Out of Bounds Turnover (P1.T1),bad,-2.55,NYK_TOV
1,7:42.0,258.0,10-15,Wembanyama Cutting Dunk Shot (2 PTS) (Johnson 1 AST),bad,-2.52,SAS_MADE_2
1,7:29.0,271.0,-,MISS Hart 3PT Jump Shot,bad,-1.67,NYK_MISS_FG
1,7:26.0,274.0,-,Champagnie REBOUND (Off:0 Def:1),bad,-0.83,SAS_REB_D
1,7:20.0,280.0,-,MISS Castle 2' Running Reverse Layup,good,1.66,SAS_MISS_FG
1,7:18.0,282.0,-,Brunson REBOUND (Off:0 Def:1),good,0.83,NYK_REB_D
1,7:16.0,284.0,13-15,Brunson 26' 3PT Running Pull-Up Jump Shot (8 PTS),good,3.32,NYK_MADE_3_1POSS
1,6:56.0,304.0,13-17,Harper 1' Driving Finger Roll Layup (2 PTS) (Champagnie 1 AST),bad,-2.48,SAS_MADE_2
1,6:32.0,328.0,-,MISS Towns 27' 3PT Jump Shot,bad,-1.64,NYK_MISS_FG
1,6:28.0,332.0,-,Johnson REBOUND (Off:0 Def:1),bad,-0.82,SAS_REB_D
1,6:20.0,340.0,-,MISS Wembanyama 25' 3PT Jump Shot,good,1.64,SAS_MISS_FG
1,6:17.0,343.0,-,Hart REBOUND (Off:0 Def:1),good,0.82,NYK_REB_D
1,5:54.0,366.0,-,MISS Hart 9' Driving Floating Jump Shot,bad,-1.63,NYK_MISS_FG
1,5:50.0,370.0,-,Harper REBOUND (Off:0 Def:1),bad,-0.81,SAS_REB_D
1,5:46.0,374.0,-,Hart S.FOUL (P2.T4) (T.Brothers),neutral,0.0,FOUL_NEUTRAL
1,5:46.0,374.0,-,SPURS Timeout: Regular (Full 1 Short 0),good,0.81,SAS_TIMEOUT
1,5:46.0,374.0,-,SUB: Kornet FOR Wembanyama,neutral,0.0,NEUTRAL
1,5:46.0,374.0,-,SUB: Vassell FOR Johnson,neutral,0.0,NEUTRAL
1,5:46.0,374.0,-,SUB: McBride FOR Hart,neutral,0.0,NEUTRAL
1,5:46.0,374.0,-,SUB: Shamet FOR Anunoby,neutral,0.0,NEUTRAL
1,5:46.0,374.0,-,MISS Castle Free Throw 1 of 2,good,0.81,SAS_MISS_FT
1,5:46.0,374.0,-,SPURS Rebound,bad,-0.81,SAS_REB_TEAM
1,5:46.0,374.0,-,MISS Castle Free Throw 2 of 2,good,0.81,SAS_MISS_FT
1,5:46.0,374.0,-,SPURS Rebound,bad,-0.81,SAS_REB_TEAM
1,5:45.0,375.0,-,Towns P.FOUL (P1.PN) (J.Tiven),neutral,0.0,FOUL_NEUTRAL
1,5:45.0,375.0,13-18,Kornet Free Throw 1 of 2 (1 PTS),good,0.81,NYK_MADE_FT
1,5:45.0,375.0,-,MISS Kornet Free Throw 2 of 2,bad,-0.81,NYK_MISS_FT
1,5:41.0,379.0,-,Towns REBOUND (Off:0 Def:2),good,0.81,NYK_REB_D
1,5:38.0,382.0,-,MISS Shamet 2' Running Layup,bad,-1.63,NYK_MISS_FG
1,5:36.0,384.0,-,Champagnie REBOUND (Off:0 Def:2),bad,-0.81,SAS_REB_D
1,5:27.0,393.0,13-20,Harper 1' Driving Dunk (4 PTS) (Castle 2 AST),bad,-2.44,SAS_MADE_2
1,5:18.0,402.0,-,Vassell P.FOUL (P1.T2) (T.Brothers),neutral,0.0,FOUL_NEUTRAL
1,5:11.0,409.0,16-20,Towns 27' 3PT Jump Shot (3 PTS) (Bridges 1 AST),good,3.24,NYK_MADE_3
1,5:00.0,420.0,-,MISS Harper 25' 3PT Jump Shot,good,1.62,SAS_MISS_FG
1,4:57.0,423.0,-,Towns REBOUND (Off:0 Def:3),good,0.81,NYK_REB_D
1,4:49.0,431.0,-,MISS Shamet 25' 3PT Step Back Jump Shot,bad,-1.62,NYK_MISS_FG
1,4:49.0,431.0,-,Knicks Rebound,good,0.81,NYK_REB_TEAM
1,4:49.0,431.0,-,Harper L.B.FOUL (P1.T3) (T.Ford),neutral,0.0,FOUL_NEUTRAL
1,4:49.0,431.0,-,SUB: Fox FOR Castle,neutral,0.0,NEUTRAL
1,4:49.0,431.0,-,SUB: Bryant FOR Champagnie,neutral,0.0,NEUTRAL
1,4:41.0,439.0,-,Brunson Step Out of Bounds Turnover (P1.T2),bad,-2.43,NYK_TOV
1,4:30.0,450.0,-,Bryant Bad Pass Turnover (P1.T1),good,2.43,SAS_TOV
1,4:30.0,450.0,-,Towns STEAL (1 STL),good,2.43,NYK_STEAL
1,4:16.0,464.0,18-20,Towns 2' Driving Layup (5 PTS),good,2.43,NYK_MADE_2_1POSS
1,4:05.0,475.0,-,MISS Vassell 25' 3PT Jump Shot,good,1.62,SAS_MISS_FG
1,4:02.0,478.0,-,Bridges REBOUND (Off:0 Def:2),good,0.81,NYK_REB_D
1,3:55.0,485.0,-,Kornet P.FOUL (P1.T4) (T.Ford),neutral,0.0,FOUL_NEUTRAL
1,3:55.0,485.0,-,SUB: Anunoby FOR Bridges,neutral,0.0,NEUTRAL
1,3:55.0,485.0,-,SUB: Robinson FOR Towns,neutral,0.0,NEUTRAL
1,3:49.0,491.0,-,MISS Brunson 15' Pullup Jump Shot,bad,-1.62,NYK_MISS_FG_STOP_TIE
1,3:45.0,495.0,-,McBride REBOUND (Off:1 Def:0),good,0.81,NYK_REB_D
1,3:42.0,498.0,-,MISS McBride 16' Turnaround Fadeaway Shot,bad,-1.62,NYK_MISS_FG_STOP_TIE
1,3:42.0,498.0,-,Kornet REBOUND (Off:0 Def:1),good,0.81,NYK_REB_D
1,3:32.0,508.0,18-22,Fox 8' Pullup Jump Shot (2 PTS),bad,-2.43,SAS_MADE_2
1,3:25.0,515.0,-,Kornet Personal Take Foul (P2.PN) (T.Ford),neutral,0.0,NEUTRAL
1,3:25.0,515.0,19-22,Robinson Free Throw 1 of 2 (1 PTS),good,0.81,NYK_MADE_FT_1POSS
1,3:25.0,515.0,-,MISS Robinson Free Throw 2 of 2,bad,-0.81,NYK_MISS_FT
1,3:22.0,518.0,-,Vassell REBOUND (Off:0 Def:2),bad,-0.81,SAS_REB_D
1,3:06.0,534.0,19-24,Vassell 2' Driving Finger Roll Layup (5 PTS) (Harper 1 AST),bad,-2.43,SAS_MADE_2
1,2:56.0,544.0,-,Bryant Personal Take Foul (P1.PN) (J.Tiven),neutral,0.0,NEUTRAL
1,2:56.0,544.0,-,Knicks Timeout: Regular (Reg.1 Short 0),bad,-0.81,NYK_TIMEOUT
1,2:56.0,544.0,-,MISS Robinson Free Throw 1 of 2,bad,-0.81,NYK_MISS_FT
1,2:56.0,544.0,-,Knicks Rebound,good,0.81,NYK_REB_TEAM
1,2:56.0,544.0,-,MISS Robinson Free Throw 2 of 2,bad,-0.81,NYK_MISS_FT
1,2:53.0,547.0,-,Kornet REBOUND (Off:0 Def:2),good,0.81,NYK_REB_D
1,2:38.0,562.0,19-27,Fox 25' 3PT Jump Shot (5 PTS) (Vassell 2 AST),bad,-3.24,SAS_MADE_3
1,2:29.0,571.0,-,Bryant Personal Take Foul (P2.PN) (T.Brothers),neutral,0.0,NEUTRAL
1,2:29.0,571.0,20-27,Robinson Free Throw 1 of 2 (2 PTS),good,0.81,NYK_MADE_FT
1,2:29.0,571.0,-,SUB: Wembanyama FOR Kornet,neutral,0.0,NEUTRAL
1,2:29.0,571.0,-,SUB: Champagnie FOR Bryant,neutral,0.0,NEUTRAL
1,2:29.0,571.0,21-27,Robinson Free Throw 2 of 2 (3 PTS),good,0.81,NYK_MADE_FT
1,2:18.0,582.0,21-29,Fox 2' Driving Finger Roll Layup (7 PTS),bad,-2.43,SAS_MADE_2
1,1:50.0,610.0,-,MISS Brunson 10' Driving Floating Jump Shot,bad,-1.62,NYK_MISS_FG
1,1:48.0,612.0,-,Harper REBOUND (Off:0 Def:2),bad,-0.81,SAS_REB_D
1,1:45.0,615.0,21-31,Fox 2' Running Alley Oop Layup Shot (9 PTS) (Vassell 3 AST),bad,-2.44,SAS_MADE_2
1,1:20.0,640.0,23-31,Robinson 2' Cutting Layup Shot (5 PTS) (Anunoby 1 AST),good,2.44,NYK_MADE_2
1,1:06.0,654.0,-,Robinson S.FOUL (P1.PN) (T.Brothers),neutral,0.0,FOUL_NEUTRAL
1,1:06.0,654.0,-,MISS Wembanyama Free Throw 1 of 2,good,0.81,SAS_MISS_FT
1,1:06.0,654.0,-,SPURS Rebound,bad,-0.81,SAS_REB_TEAM
1,1:06.0,654.0,23-32,Wembanyama Free Throw 2 of 2 (3 PTS),bad,-0.81,SAS_MADE_FT
1,0:50.4,669.6,-,McBride Backcourt Turnover (P1.T3),bad,-2.45,NYK_TOV
1,0:34.0,686.0,-,Fox Lost Ball Turnover (P1.T2),good,2.45,SAS_TOV
1,0:34.0,686.0,-,Brunson STEAL (1 STL),good,2.45,NYK_STEAL
1,0:31.2,688.8,25-32,Shamet 1' Running Layup (2 PTS) (Brunson 2 AST),good,2.45,NYK_MADE_2
1,0:12.3,707.7,25-34,Wembanyama 3' Driving Layup (5 PTS) (Fox 1 AST),bad,-2.45,SAS_MADE_2
1,0:03.9,716.1,-,MISS Brunson 26' 3PT Step Back Jump Shot,bad,-1.64,NYK_MISS_FG
1,0:01.7,718.3,-,Wembanyama REBOUND (Off:0 Def:2),bad,-0.82,SAS_REB_D
1,0:00.1,719.9,-,SPURS Heave,neutral,0.0,NEUTRAL
1,0:00.1,719.9,-,SPURS Rebound,bad,-0.82,SAS_REB_TEAM
1,0:00.0,720.0,25-34,End of 1st Period (9:16 PM EST),neutral,0.0,NEUTRAL
2,12:00.0,720.0,25-34,Start of 2nd Period (9:20 PM EST),neutral,0.0,NEUTRAL
2,11:46.0,734.0,-,MISS Shamet 26' 3PT Jump Shot,bad,-1.64,NYK_MISS_FG
2,11:42.0,738.0,-,Wembanyama REBOUND (Off:0 Def:3),bad,-0.82,SAS_REB_D
2,11:32.0,748.0,25-37,Castle 3PT Jump Shot (5 PTS) (Harper 2 AST),bad,-3.28,SAS_MADE_3
2,11:15.0,765.0,28-37,Towns 26' 3PT Step Back Jump Shot (8 PTS) (McBride 1 AST),good,3.29,NYK_MADE_3
2,10:52.0,788.0,-,MISS Champagnie 25' 3PT Jump Shot,good,1.65,SAS_MISS_FG
2,10:49.0,791.0,-,Wembanyama REBOUND (Off:1 Def:3),bad,-0.82,SAS_REB_D
2,10:41.0,799.0,-,MISS Castle 6' Driving Layup,good,1.65,SAS_MISS_FG
2,10:41.0,799.0,-,Shamet BLOCK (1 BLK),good,1.65,NYK_BLOCK
2,10:39.0,801.0,-,Towns REBOUND (Off:0 Def:4),good,0.82,NYK_REB_D
2,10:37.0,803.0,-,MISS Alvarado 26' 3PT Running Pull-Up Jump Shot,good,1.65,SAS_MISS_FG
2,10:33.0,807.0,-,Champagnie REBOUND (Off:0 Def:3),bad,-0.83,SAS_REB_D
2,10:28.0,812.0,-,MISS Wembanyama 24' 3PT Running Pull-Up Jump Shot,good,1.65,SAS_MISS_FG
2,10:25.0,815.0,-,Anunoby REBOUND (Off:0 Def:2),good,0.83,NYK_REB_D
2,10:12.0,828.0,-,Castle S.FOUL (P2.T1) (J.Tiven),neutral,0.0,FOUL_NEUTRAL
2,10:12.0,828.0,29-37,Towns Free Throw 1 of 2 (9 PTS),good,0.83,NYK_MADE_FT
2,10:12.0,828.0,-,SUB: Barnes FOR Johnson,neutral,0.0,NEUTRAL
2,10:12.0,828.0,30-37,Towns Free Throw 2 of 2 (10 PTS),good,0.83,NYK_MADE_FT
2,10:01.0,839.0,-,Harper OFF.Foul (P2) (J.Tiven),neutral,0.0,NEUTRAL
2,10:01.0,839.0,-,Harper Offensive Foul Turnover (P1.T3),good,2.49,SAS_TOV
2,9:50.0,850.0,-,MISS Alvarado 5' Driving Finger Roll Layup,good,1.66,SAS_MISS_FG
2,9:50.0,850.0,-,Wembanyama BLOCK (1 BLK),bad,-1.66,SAS_BLOCK
2,9:50.0,850.0,-,Knicks Rebound,good,0.83,NYK_REB_TEAM
2,9:45.0,855.0,32-37,Towns 1' Driving Dunk (12 PTS) (Alvarado 1 AST),good,2.49,NYK_MADE_2
2,9:33.0,867.0,-,MISS Harper 1' Driving Layup,good,1.66,SAS_MISS_FG
2,9:33.0,867.0,-,Towns BLOCK (1 BLK),good,1.66,NYK_BLOCK
2,9:33.0,867.0,-,Anunoby REBOUND (Off:0 Def:3),good,0.83,NYK_REB_D
2,9:25.0,875.0,-,MISS McBride 3PT Jump Shot,bad,-1.67,NYK_MISS_FG
2,9:22.0,878.0,-,Harper REBOUND (Off:0 Def:3),bad,-0.83,SAS_REB_D
2,9:21.0,879.0,-,Alvarado S.FOUL (P1.T1) (J.Tiven),neutral,0.0,FOUL_NEUTRAL
2,9:21.0,879.0,32-38,Castle Free Throw 1 of 2 (6 PTS),bad,-0.83,SAS_MADE_FT
2,9:21.0,879.0,-,SUB: Fox FOR Harper,neutral,0.0,NEUTRAL
2,9:21.0,879.0,-,SUB: Bridges FOR Anunoby,neutral,0.0,NEUTRAL
2,9:21.0,879.0,-,SUB: Hart FOR Shamet,neutral,0.0,NEUTRAL
2,9:21.0,879.0,32-39,Castle Free Throw 2 of 2 (7 PTS),bad,-0.83,SAS_MADE_FT
2,9:04.0,896.0,34-39,Towns 2' Layup (14 PTS) (Hart 1 AST),good,2.51,NYK_MADE_2
2,8:46.0,914.0,-,MISS Castle 11' Pullup Jump Shot,good,1.67,SAS_MISS_FG
2,8:44.0,916.0,-,Towns REBOUND (Off:0 Def:5),good,0.84,NYK_REB_D
2,8:31.0,929.0,-,MISS McBride 27' 3PT Pullup Jump Shot,bad,-1.68,NYK_MISS_FG
2,8:28.0,932.0,-,Castle REBOUND (Off:0 Def:2),bad,-0.84,SAS_REB_D
2,8:22.0,938.0,-,Fox Bad Pass Turnover (P2.T4),good,2.52,SAS_TOV
2,8:22.0,938.0,-,Hart STEAL (1 STL),good,2.52,NYK_STEAL
2,8:13.0,947.0,-,MISS Towns 28' 3PT Jump Shot,bad,-1.68,NYK_MISS_FG
2,8:09.0,951.0,-,Fox REBOUND (Off:0 Def:1),bad,-0.84,SAS_REB_D
2,8:01.0,959.0,34-41,Fox 1' Driving Floating Jump Shot (11 PTS),bad,-2.53,SAS_MADE_2
2,8:01.0,959.0,-,McBride S.FOUL (P1.T2) (T.Brothers),neutral,0.0,FOUL_NEUTRAL
2,8:01.0,959.0,-,SUB: Kornet FOR Wembanyama,neutral,0.0,NEUTRAL
2,8:01.0,959.0,-,SUB: Shamet FOR McBride,neutral,0.0,NEUTRAL
2,8:01.0,959.0,34-42,Fox Free Throw 1 of 1 (12 PTS),bad,-0.84,SAS_MADE_FT
2,7:38.0,982.0,-,Castle S.FOUL (P3.T2) (J.Tiven),neutral,0.0,FOUL_NEUTRAL
2,7:38.0,982.0,35-42,Alvarado Free Throw 1 of 3 (1 PTS),bad,-0.85,SAS_MADE_FT
2,7:38.0,982.0,-,MISS Alvarado Free Throw 2 of 3,good,0.85,SAS_MISS_FT
2,7:38.0,982.0,-,Knicks Rebound,good,0.85,NYK_REB_TEAM
2,7:38.0,982.0,-,SUB: Vassell FOR Castle,neutral,0.0,NEUTRAL
2,7:38.0,982.0,36-42,Alvarado Free Throw 3 of 3 (2 PTS),bad,-0.85,SAS_MADE_FT
2,7:22.0,998.0,-,MISS Fox 10' Step Back Jump Shot,good,1.7,SAS_MISS_FG
2,7:19.0,1001.0,-,Hart REBOUND (Off:0 Def:2),good,0.85,NYK_REB_D
2,7:03.0,1017.0,39-42,Bridges 3PT Jump Shot (3 PTS) (Towns 2 AST),good,3.43,NYK_MADE_3_1POSS
2,7:01.0,1019.0,-,SPURS Timeout: Regular (Full 2 Short 0),good,0.85,SAS_TIMEOUT
2,7:01.0,1019.0,-,SUB: Harper FOR Champagnie,neutral,0.0,NEUTRAL
2,7:01.0,1019.0,-,SUB: Brunson FOR Alvarado,neutral,0.0,NEUTRAL
2,7:01.0,1019.0,-,SUB: Anunoby FOR Towns,neutral,0.0,NEUTRAL
2,7:01.0,1019.0,-,SUB: Robinson FOR Shamet,neutral,0.0,NEUTRAL
