transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude
2026-05-21T19:00:00.000,subway,309,103 St (1),Manhattan,metrocard,Metrocard - Other,1.0,0.0,40.799446,-73.968376
2026-05-21T19:00:00.000,subway,309,103 St (1),Manhattan,omny,OMNY - Seniors & Disability,44.0,1.0,40.799446,-73.968376
2026-05-21T19:00:00.000,subway,309,103 St (1),Manhattan,omny,OMNY - Other,3.0,0.0,40.799446,-73.968376
2026-05-21T19:00:00.000,subway,309,103 St (1),Manhattan,omny,OMNY - Full Fare,419.0,8.0,40.799446,-73.968376
2026-05-21T19:00:00.000,subway,309,103 St (1),Manhattan,omny,OMNY - Fair Fare,22.0,0.0,40.799446,-73.968376
2026-05-21T19:00:00.000,subway,309,103 St (1),Manhattan,omny,OMNY - Students,22.0,0.0,40.799446,-73.968376
2026-05-21T19:00:00.000,subway,395,103 St (6),Manhattan,omny,OMNY - Other,7.0,0.0,40.7906,-73.94748
2026-05-21T19:00:00.000,subway,395,103 St (6),Manhattan,omny,OMNY - Seniors & Disability,15.0,0.0,40.7906,-73.94748
2026-05-21T19:00:00.000,subway,395,103 St (6),Manhattan,omny,OMNY - Full Fare,357.0,3.0,40.7906,-73.94748
2026-05-21T19:00:00.000,subway,395,103 St (6),Manhattan,metrocard,Metrocard - Other,4.0,0.0,40.7906,-73.94748
2026-05-21T19:00:00.000,subway,395,103 St (6),Manhattan,omny,OMNY - Fair Fare,30.0,0.0,40.7906,-73.94748
2026-05-21T19:00:00.000,subway,395,103 St (6),Manhattan,omny,OMNY - Students,20.0,0.0,40.7906,-73.94748
2026-05-21T19:00:00.000,subway,156,"103 St (C,B)",Manhattan,omny,OMNY - Fair Fare,8.0,0.0,40.796093,-73.96146
2026-05-21T19:00:00.000,subway,156,"103 St (C,B)",Manhattan,metrocard,Metrocard - Other,1.0,0.0,40.796093,-73.96146
2026-05-21T19:00:00.000,subway,156,"103 St (C,B)",Manhattan,omny,OMNY - Other,1.0,0.0,40.796093,-73.96146
2026-05-21T19:00:00.000,subway,156,"103 St (C,B)",Manhattan,omny,OMNY - Students,6.0,0.0,40.796093,-73.96146
2026-05-21T19:00:00.000,subway,156,"103 St (C,B)",Manhattan,omny,OMNY - Seniors & Disability,11.0,1.0,40.796093,-73.96146
2026-05-21T19:00:00.000,subway,156,"103 St (C,B)",Manhattan,omny,OMNY - Full Fare,137.0,1.0,40.796093,-73.96146
2026-05-21T19:00:00.000,subway,450,103 St-Corona Plaza (7),Queens,omny,OMNY - Other,10.0,0.0,40.749866,-73.8627
2026-05-21T19:00:00.000,subway,450,103 St-Corona Plaza (7),Queens,metrocard,Metrocard - Other,7.0,0.0,40.749866,-73.8627
2026-05-21T19:00:00.000,subway,450,103 St-Corona Plaza (7),Queens,omny,OMNY - Fair Fare,9.0,0.0,40.749866,-73.8627
2026-05-21T19:00:00.000,subway,450,103 St-Corona Plaza (7),Queens,omny,OMNY - Seniors & Disability,15.0,0.0,40.749866,-73.8627
2026-05-21T19:00:00.000,subway,450,103 St-Corona Plaza (7),Queens,omny,OMNY - Full Fare,222.0,9.0,40.749866,-73.8627
2026-05-21T19:00:00.000,subway,450,103 St-Corona Plaza (7),Queens,omny,OMNY - Students,31.0,2.0,40.749866,-73.8627
2026-05-21T19:00:00.000,subway,193,104 St (A),Queens,omny,OMNY - Seniors & Disability,2.0,0.0,40.68171,-73.837685
2026-05-21T19:00:00.000,subway,193,104 St (A),Queens,omny,OMNY - Full Fare,18.0,0.0,40.68171,-73.837685
2026-05-21T19:00:00.000,subway,193,104 St (A),Queens,omny,OMNY - Other,3.0,0.0,40.68171,-73.837685
2026-05-21T19:00:00.000,subway,193,104 St (A),Queens,omny,OMNY - Students,2.0,0.0,40.68171,-73.837685
2026-05-21T19:00:00.000,subway,82,"104 St (J,Z)",Queens,omny,OMNY - Students,8.0,0.0,40.69518,-73.84433
